ID,Question,Mental Health Condition
70,Do you find it hard to talk about your feelings with others?,Social Anxiety Disorder
71,Do you often feel that your emotional state is out of your control?,Borderline Personality Disorder
72,Do you avoid situations or people that make you feel uncomfortable or anxious?,Social Anxiety Disorder
73,"Do you experience emotional extremes in relationships, such as idealizing or devaluing someone?",Borderline Personality Disorder
74,Do you have recurring thoughts or memories of a traumatic experience?,PTSD
75,Do you engage in behavior that feels impulsive or out of character?,Bipolar Disorder
76,Do you often feel disconnected from your body or surroundings?,Dissociative Identity Disorder
77,Do you feel a deep sense of sadness or loss without understanding why?,Depression
78,Do you find it difficult to focus on tasks due to constant worry?,Generalized Anxiety Disorder
79,Do you find yourself participating in risky behaviors without concern for consequences?,Bipolar Disorder
80,Do you often worry excessively about your health or physical condition?,Health Anxiety
81,Do you avoid social gatherings because you fear they will lead to awkward situations?,Social Anxiety Disorder
82,Do you find yourself engaging in extreme dieting or eating habits?,Eating Disorders
83,Do you have an excessive fear of certain objects or situations?,Phobias
84,"Do you struggle with emotional regulation, often feeling overwhelmed?",Borderline Personality Disorder
85,Do you often feel anxious or fearful in situations that others would not?,Generalized Anxiety Disorder
86,Do you experience excessive fatigue that doesn't seem to improve with rest?,Chronic Fatigue
87,Do you often feel like you are not in control of your thoughts or actions?,Schizophrenia
88,Do you find yourself avoiding contact with others because you feel awkward or nervous?,Social Anxiety Disorder
89,Do you find yourself feeling distant or detached from others?,Dissociative Identity Disorder
90,Do you often have difficulty making decisions or organizing your thoughts?,ADHD
91,Do you have persistent negative thoughts about your future?,Depression
92,Do you find yourself thinking obsessively about a specific subject or event?,OCD
93,Do you feel mentally or physically fatigued even after a good rest?,Chronic Fatigue
94,Do you struggle with managing or controlling your anger?,Anger Management
95,Do you feel like you're unable to relax or unwind after a stressful event?,Generalized Anxiety Disorder
96,Do you often feel a sense of dread or impending doom?,Anxiety
97,Do you feel misunderstood or disconnected from others?,Schizophrenia
98,Are you unable to enjoy activities that once made you happy?,Depression
99,Do you feel emotionally numb or detached from your own emotions?,Dissociative Identity Disorder
100,Do you feel intense pressure or difficulty meeting expectations in your career?,Workplace Stress
101,Do you find it difficult to engage in social situations due to fear of embarrassment?,Social Anxiety Disorder
102,Do you frequently experience negative self-talk or critical thoughts?,Depression
103,Do you avoid situations or places because of a specific phobia?,Phobias
